"filename", "language", "JavaScript", "JSON", "YAML", "Markdown", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Sameer\Desktop\Adios\Adios\.readthedocs.yaml", "YAML", 0, 0, 7, 0, 0, 0, 23, 6, 36
"c:\Users\Sameer\Desktop\Adios\Adios\README.md", "Markdown", 0, 0, 0, 76, 0, 0, 0, 32, 108
"c:\Users\Sameer\Desktop\Adios\Adios\adios\package-lock.json", "JSON", 0, 5941, 0, 0, 0, 0, 0, 2, 5943
"c:\Users\Sameer\Desktop\Adios\Adios\adios\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Sameer\Desktop\Adios\Adios\adios\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\approvals.js", "JavaScript", 47, 0, 0, 0, 0, 0, 1, 7, 55
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\auth.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\crateLeave.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\details.js", "JavaScript", 82, 0, 0, 0, 0, 0, 8, 13, 103
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 2, 12
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\API\leaveDetails.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 4, 45
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\AcademicsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 1, 17, 171
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\FacultyDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 1, 17, 169
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\LeaveDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 178, 3, 15, 196
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\LeaveForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 212, 3, 28, 243
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 144, 1, 14, 159
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\ParentDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 260, 1, 22, 283
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\StudentDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 190, 1, 19, 210
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\components\WardenDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 154, 1, 17, 172
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\context\RoleContext.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\context\UsernameContext.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\index.css", "CSS", 0, 0, 0, 0, 59, 0, 0, 11, 70
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Sameer\Desktop\Adios\Adios\adios\src\utils\toastConfig.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Sameer\Desktop\Adios\Adios\adios\tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 3, 14
"c:\Users\Sameer\Desktop\Adios\Adios\server\package-lock.json", "JSON", 0, 1947, 0, 0, 0, 0, 0, 1, 1948
"c:\Users\Sameer\Desktop\Adios\Adios\server\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\config\database.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\controllers\approvalController.js", "JavaScript", 287, 0, 0, 0, 0, 0, 1, 50, 338
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\controllers\authController.js", "JavaScript", 72, 0, 0, 0, 0, 0, 1, 18, 91
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\controllers\detailController.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 20, 102
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\controllers\historyController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\controllers\leaveController.js", "JavaScript", 119, 0, 0, 0, 0, 0, 7, 39, 165
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\routes\approvalRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 13, 27
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\routes\authRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\routes\detailRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\routes\historyRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 7, 18
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\routes\leaveRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7, 14
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\utils\customError.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Sameer\Desktop\Adios\Adios\server\src\utils\logger.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 897, 7949, 7, 76, 59, 1504, 73, 427, 10992